phase,episode_index,seed,frame_index,time_s,x_m,y_m,z_m,quat_w,quat_x,quat_y,quat_z
validation-source,0,2005200,17,1.7000000000000013,-0.753475731448116,-0.38622716434091475,1.1967644472179426,0.9999139335286766,-0.007137396597306897,-0.011007887030438519,9.761222997615148e-05
validation-source,0,2005200,18,1.8000000000000014,-0.6915164954337377,-0.4336667840118495,1.1972682691216723,0.9998433289593535,-0.010889863854345747,-0.01395342633708448,0.0001740521956726886
validation-source,0,2005200,19,1.9000000000000015,-0.6322499324097787,-0.4790173203804044,1.19780272182548,0.9998213594526143,-0.012328412901366109,-0.014325437990395823,0.00020308629212534445
validation-source,0,2005200,20,2.0000000000000013,-0.5757248466633526,-0.5219826810887189,1.1982692293683757,0.9998731450744467,-0.01158613870530908,-0.010928392127927865,0.00015935599416941676
validation-source,0,2005200,21,2.0999999999999903,-0.521248218346004,-0.5626022052292547,1.198662074693757,0.999897369812138,-0.014098871527316193,-0.002543945526695238,-2.3623140377360867e-06
validation-source,0,2005200,22,2.1999999999999793,-0.4672463961621622,-0.6003251521225466,1.1991267534653396,0.999703409878887,-0.02317448411488785,0.007477822341510326,-0.0003431261603835174
validation-source,0,2005200,23,2.2999999999999683,-0.41182073021708965,-0.6335047004379732,1.1997591677328228,0.9993735878732332,-0.03212016782576221,0.01484145658863061,-0.0006766435937778719
validation-source,0,2005200,24,2.3999999999999573,-0.35355650440345404,-0.6604393657713894,1.200424774725134,0.9991656582494893,-0.036908770715323766,0.01746679312572489,-0.0008007228297859396
validation-source,0,2005200,25,2.4999999999999463,-0.2919068038389309,-0.6802453605471307,1.200876930248371,0.9992248899338735,-0.0355117510976779,0.016970449557737556,-0.0007339703140426624
validation-source,0,2005200,26,2.5999999999999353,-0.22694493427858736,-0.6931072352732658,1.201047494707451,0.9993661843792871,-0.03221107723576268,0.015143653149990504,-0.0005880406183620382
validation-source,0,2005200,27,2.6999999999999242,-0.1590337947210056,-0.6997062396411172,1.200950751296305,0.9995740025524138,-0.026570335543078468,0.01206876049028365,-0.00041917860499453025
validation-source,0,2005200,28,2.7999999999999132,-0.08877365492073476,-0.7010452627923411,1.2006850739070063,0.9997088819923898,-0.022799628311958416,0.007890834052230532,-0.0002509030137102811
validation-source,0,2005200,29,2.899999999999902,-0.016953716577118604,-0.697992489789271,1.2003058293338056,0.9998649980754079,-0.01589332273753754,0.00416743833913824,-0.0001427365197231908
validation-source,0,2005200,30,2.999999999999891,0.05568040012367124,-0.6918576451161423,1.1998498689219748,0.9999786132352598,-0.006518841127514268,0.0005182772976676453,-9.576577159647766e-05
validation-source,0,2005200,31,3.09999999999988,0.12841593009956745,-0.6844321875277342,1.1994472739609587,0.9999929037831575,0.0021257430744751346,-0.0031085804395096024,-0.00010162362623393098
