seed,live_success,live_collision,live_seconds,live_failure_reason,live_final_distance,live_min_polyline_clearance,live_path_length_m,stale_success,stale_collision,stale_seconds,stale_failure_reason,stale_final_distance,stale_min_polyline_clearance,stale_path_length_m
2006208,true,false,5.09999999999966,,0.1983527632935193,0.3936688078979511,3.4423513111596855,false,false,12.000000000000677,timeout,1.0128078901657507,0.681058006407307,7.350763347109235
2006209,true,false,4.999999999999671,,0.24221535631823182,0.42094529117362545,3.3994920411926555,false,false,12.000000000000677,timeout,1.005293387598515,0.6956017904177288,7.337079384158377
2006210,true,false,5.199999999999649,,0.23989196361527232,0.4481086424065991,3.4401067019112777,false,false,12.000000000000677,timeout,0.8903394480579256,0.629991011830786,7.028795060567952
2006211,true,false,5.199999999999649,,0.23880861465439987,0.37753548166077255,3.430350086041139,false,false,12.000000000000677,timeout,0.8893510687087138,0.600231175460212,7.027379277432312
2006212,true,false,5.199999999999649,,0.2332232230231064,0.2993017083112691,3.4220847278763213,false,false,12.000000000000677,timeout,1.043334096368176,0.5946266711058646,7.35926170782701
2006213,true,false,5.399999999999627,,0.21052042058588263,0.28695449046133226,3.467240152138889,false,false,12.000000000000677,timeout,0.7571248071766487,0.5792105211878439,6.776613549429861
2006214,true,false,5.09999999999966,,0.1776768895234856,0.529529186459749,3.4713936457812538,false,false,12.000000000000677,timeout,0.9860600798253949,0.7457688415005469,7.281618182192577
2006215,true,false,5.299999999999638,,0.21496539088588063,0.31588788841052884,3.453672472927293,false,false,12.000000000000677,timeout,0.8633596438135445,0.5781655516586449,6.9683695659021545
2006216,true,false,5.299999999999638,,0.22961598670113956,0.3661532897179579,3.4579978251181958,false,false,12.000000000000677,timeout,0.7744499763354893,0.601011427407803,6.797031799602316
2006217,true,false,5.299999999999638,,0.20520911384734336,0.3884722094986328,3.478273407234249,false,false,12.000000000000677,timeout,0.8453510376396243,0.6038203207404028,6.9204482674969645
2006218,true,false,5.09999999999966,,0.24860767291646407,0.5067025312093115,3.4166201256649624,false,false,12.000000000000677,timeout,1.0196387735728503,0.6729057035209512,7.2611588121828445
2006219,true,false,5.399999999999627,,0.2101702786134433,0.3369953408771439,3.485644137518895,false,false,12.000000000000677,timeout,0.7130051357694576,0.5996670574759456,6.710125565946595
2006220,true,false,4.999999999999671,,0.21323090359972335,0.4426863269807003,3.426433782977297,false,false,12.000000000000677,timeout,0.9433793076971642,0.7562691814847823,7.300016124132438
2006221,true,false,5.299999999999638,,0.23835981991712665,0.3420361824166064,3.4459070092754622,false,false,12.000000000000677,timeout,0.7638234881002218,0.5949042995096269,6.781204118144313
2006222,true,false,5.199999999999649,,0.22291762332449594,0.43599388720968035,3.4513045113135283,false,false,12.000000000000677,timeout,0.8974007205636193,0.6258685990023126,7.0473321799146795
2006223,true,false,4.999999999999671,,0.2403748594188246,0.5266123040297598,3.409588198731098,false,false,12.000000000000677,timeout,0.9707059185701225,0.7586793527101375,7.272142517984495
2006224,true,false,5.199999999999649,,0.19445460616889831,0.39147350552666893,3.4685693249865808,false,false,12.000000000000677,timeout,0.9827333397961189,0.6156886528153406,7.2277655554236535
2006225,true,false,5.299999999999638,,0.21439836782592872,0.30687870409670215,3.453445815467454,false,false,12.000000000000677,timeout,0.8570512198431812,0.5750682820289915,6.95736968125963
2006226,true,false,4.999999999999671,,0.228708991751418,0.5173623909197246,3.421885987521176,false,false,12.000000000000677,timeout,0.9333278219304029,0.7781606736923833,7.260847575461138
2006227,true,false,5.299999999999638,,0.24386744315890416,0.3241822477777072,3.4362246294356775,false,false,12.000000000000677,timeout,0.7639973784636767,0.5885082457851419,6.783704764135021
