phase,episode_index,seed,success,collision,steps,seconds,failure_reason,final_distance_m,min_sampled_clearance_m,min_polyline_clearance_m,path_length_m,reward,goal_x_m,goal_y_m
validation-0,7,2005207,true,false,52,5.199999999999649,,0.19893391646197695,0.4943330504699953,0.4942535318375266,3.4724068067072444,30.72919378127348,1.6,-0.20464761640492365
validation-1,0,2005200,false,true,81,8.045999999999356,proxy_collision,1.6295446802532054,-0.03707963980618409,-0.03707963980618409,4.652199950364605,-8.196739084865358,1.6,0.005838508485950661
validation-1,1,2005201,true,false,56,5.599999999999605,,0.2061700576186011,0.5072374059770833,0.5072164014544694,3.555370078986562,30.599228929808785,1.6,-0.21703411729897892
validation-1,2,2005202,true,false,53,5.299999999999638,,0.1890973110668056,0.5549627107020884,0.5546157133594941,3.480591313130078,30.718608894611158,1.6,-0.12382173418866226
validation-1,3,2005203,false,false,120,12.000000000000677,timeout,3.627216575506796,0.12198799821391895,0.12154257770267743,7.440953360851857,-5.007629311492045,1.6,0.09475671226992213
validation-1,4,2005204,false,false,120,12.000000000000677,timeout,3.649085484600029,0.14444825390265273,0.1442582533459519,7.580486718654741,-5.017708727810576,1.6,0.07838004862274309
validation-1,5,2005205,false,false,120,12.000000000000677,timeout,3.574950165608431,0.18795790492660827,0.18769606869618585,7.649280415758914,-4.581730389371563,1.6,0.1572598640233285
validation-1,6,2005206,true,false,56,5.599999999999605,,0.21880295931111293,0.5019573388863895,0.5019573388863895,3.5456917853947774,30.552527994687445,1.6,-0.2182864007546344
validation-1,7,2005207,true,false,56,5.599999999999605,,0.2205320492991496,0.49246236762375706,0.49246236762375706,3.545611503748725,30.54259308650937,1.6,-0.20464761640492365
audit,0,2006208,true,false,51,5.09999999999966,,0.1983527632935193,0.39413507935219727,0.3936688078979511,3.4423513111596855,30.74173472948292,1.6,0.06075683782981653
audit,1,2006209,true,false,50,4.999999999999671,,0.24221535631823182,0.4215947439257782,0.42094529117362545,3.3994920411926555,30.58653706593733,1.6,0.02237792842770389
audit,2,2006210,true,false,52,5.199999999999649,,0.23989196361527232,0.4481198508895706,0.4481086424065991,3.4401067019112777,30.5819888462663,1.6,-0.18868443938796617
audit,3,2006211,true,false,52,5.199999999999649,,0.23880861465439987,0.37792380338579545,0.37753548166077255,3.430350086041139,30.558140969202558,1.6,-0.06834556788791213
audit,4,2006212,true,false,52,5.199999999999649,,0.2332232230231064,0.2997774062221974,0.2993017083112691,3.4220847278763213,30.57555163436374,1.6,0.15321667091591548
audit,5,2006213,true,false,54,5.399999999999627,,0.21052042058588263,0.2874566178572482,0.28695449046133226,3.467240152138889,30.626182841599963,1.6,-0.00790331718649881
audit,6,2006214,true,false,51,5.09999999999966,,0.1776768895234856,0.5297697426014526,0.529529186459749,3.4713936457812538,30.80966477850514,1.6,-0.133970322190531
audit,7,2006215,true,false,53,5.299999999999638,,0.21496539088588063,0.31588788841052884,0.31588788841052884,3.453672472927293,30.619926160763278,1.6,0.006089578119159722
audit,8,2006216,true,false,53,5.299999999999638,,0.22961598670113956,0.36619719830182396,0.3661532897179579,3.4579978251181958,30.598658884745277,1.6,-0.11001848972351401
audit,9,2006217,true,false,53,5.299999999999638,,0.20520911384734336,0.38867446862817456,0.3884722094986328,3.478273407234249,30.688140787404755,1.6,-0.12107248551254883
audit,10,2006218,true,false,51,5.09999999999966,,0.24860767291646407,0.5068040407405426,0.5067025312093115,3.4166201256649624,30.550734758193435,1.6,-0.20904828293115868
audit,11,2006219,true,false,54,5.399999999999627,,0.2101702786134433,0.33783447294340385,0.3369953408771439,3.485644137518895,30.659830048618133,1.6,-0.10183053109509714
audit,12,2006220,true,false,50,4.999999999999671,,0.21323090359972335,0.44325888725644325,0.4426863269807003,3.426433782977297,30.736544984116083,1.6,0.06617444206661091
audit,13,2006221,true,false,53,5.299999999999638,,0.23835981991712665,0.3423983971226803,0.3420361824166064,3.4459070092754622,30.556995591320685,1.6,-0.0808579993053852
audit,14,2006222,true,false,52,5.199999999999649,,0.22291762332449594,0.4360429808849354,0.43599388720968035,3.4513045113135283,30.640166693020376,1.6,-0.16051019044706993
audit,15,2006223,true,false,50,4.999999999999671,,0.2403748594188246,0.5268846152448655,0.5266123040297598,3.409588198731098,30.586607365632325,1.6,-0.09799165123352102
audit,16,2006224,true,false,52,5.199999999999649,,0.19445460616889831,0.39159746578835386,0.39147350552666893,3.4685693249865808,30.721119083034093,1.6,-0.03270223830222921
audit,17,2006225,true,false,53,5.299999999999638,,0.21439836782592872,0.30687870409670215,0.30687870409670215,3.453445815467454,30.621122589647065,1.6,0.01842228369840157
audit,18,2006226,true,false,50,4.999999999999671,,0.228708991751418,0.5175648963495182,0.5173623909197246,3.421885987521176,30.642934630507497,1.6,-0.05879197615970522
audit,19,2006227,true,false,53,5.299999999999638,,0.24386744315890416,0.3248147950763809,0.3241822477777072,3.4362246294356775,30.52704818973774,1.6,-0.051253427780264676
stale-vision,0,2006208,false,false,120,12.000000000000677,timeout,1.0128078901657507,0.6815438510043156,0.681058006407307,7.350763347109235,5.759923852852959,1.6,0.06075683782981653
stale-vision,1,2006209,false,false,120,12.000000000000677,timeout,1.005293387598515,0.6960748774232851,0.6956017904177288,7.337079384158377,5.7852796158324145,1.6,0.02237792842770389
stale-vision,2,2006210,false,false,120,12.000000000000677,timeout,0.8903394480579256,0.6300220733317735,0.629991011830786,7.028795060567952,6.281702888491508,1.6,-0.18868443938796617
stale-vision,3,2006211,false,false,120,12.000000000000677,timeout,0.8893510687087138,0.6008242640332934,0.600231175460212,7.027379277432312,6.257195935743941,1.6,-0.06834556788791213
stale-vision,4,2006212,false,false,120,12.000000000000677,timeout,1.043334096368176,0.5950771897029951,0.5946266711058646,7.35926170782701,5.636208812226134,1.6,0.15321667091591548
